description,priority
Buy groceries,High
Finish assignment,High
Read a book,Low
Watch a movie,Low
Attend meeting,High
Practice Python,Medium
Go for a walk,Low
Review finances,Medium
Write a report,High
Clean the house,Medium
Visit the dentist,High
Study for exams,High
Play video games,Low
Water the plants,Low
Prepare presentation,High
Go to the gym,Medium
Cook dinner,Medium
Call parents,Medium
Pay bills,High
Book a flight,Medium
Plan vacation,Medium
Wash the car,Low
Update software,Medium
Write code,Medium
Listen to music,Low
Prepare for meeting,High
Go shopping,Medium
Attend workshop,High
Write emails,Medium
Watch a webinar,Low
Plan a party,Medium
Visit relatives,Medium
Go to the bank,High
Buy a gift,Medium
Visit a museum,Low
Take a course,Medium
Go cycling,Low
Repair the bike,Medium
Visit a doctor,High
Read the news,Low
Organize desk,Medium
Order supplies,High
Go swimming,Low
Feed the pets,Medium
Finish the project,High
Do laundry,Medium
Take a nap,Low
Attend a conference,High
Write a paper,High
Go hiking,Low
Play the guitar,Low
Order food,Low
Go dancing,Low
Start a new book,Low
Meditate,Low
Go to a spa,Low
Plan a hike,Medium
Study a new language,Medium
Go running,Low
Clean the garage,Medium
Plan a weekend getaway,Medium
Review a manuscript,High
Go to a concert,Low
Try a new recipe,Low
Renew a subscription,Medium
Design a website,Medium
Draw a sketch,Low
Visit an art gallery,Low
Write a poem,Low
Sing a song,Low
Go to the theater,Low
Play a board game,Low
Write a letter,Medium
Practice yoga,Low
Do some gardening,Low
Attend a seminar,High
Take a photography class,Medium
Go sightseeing,Low
Bake cookies,Low
Watch the sunrise,Low
Go bird watching,Low
Try pottery,Low
Go wine tasting,Low
Visit a farm,Low
Go fishing,Low
Paint a picture,Low
Make jewelry,Low
Go horse riding,Low
